new_tweet,tokens,vaccinated,sentiment_score,sentiment_label,favorite_count,retweet_count,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,favorite_log,retweet_log,user_favourites_log,user_followers_log,user_friends_log,user_listed_log
"#cdnpoli I'm with primeminister and his doctor on this one, my doctor says the same thing, give me the second AZ jab. Fuck the conservative talking points and narratives.",primeminister doctor doctor say thing second jab fuck conservative talk point narratives,1,-0.5423,negative,1,1,5449,86,72,1,0.0,0.0,8.603187384583098,4.454347296253507,4.276666119016055,0.0
"#CityofTO #CovidVaccine I registered last Mon/Tue and got jabbed on Friday. No muss, no fuss! ðŸ¤™ðŸ™ƒðŸ’‰",register mon tue get jab friday muss fuss ƒðÿ,1,0.0,neutral,3,1,13312,371,857,5,1.0986122886681098,0.0,9.49642116306099,5.916202062607435,6.75343791859778,1.6094379124341003
#Covid 2nd dose this morning #Phizer ( no qualms personally if it was astrazeneca one personally as risk of clot pretty much zero odds) so well organised friendly at Eccles Leisure Centre. Thankyou #NHS ; all the volunteers. Ian gave me the jab. Lovely bloke ; hardly noticed it!,dose morning qualms personally astrazeneca personally risk clot pretty zero odds organise friendly eccles leisure centre thankyou volunteer ian give jab lovely bloke hardly notice,1,0.8442,positive,1,2,3140,1664,325,2,0.0,0.6931471805599453,8.0519780789023,7.416979621381154,5.783825182329737,0.6931471805599453
#CovidVaccine works. Get the new jab,work new jab,1,0.0,neutral,1,1,9820,153,694,10,0.0,0.0,9.192176401348512,5.030437921392435,6.542471960506805,2.302585092994046
"#Dose2 and feeling optimistic about a better summer and a terrific fall thx to a patient, measured re-opening and vaccine enthusiasts across ! (TY â¤ï¸)",feel optimistic better summer terrific fall thx patient measure open vaccine enthusiasts,1,0.9042,positive,155,3,48215,11188,5776,271,5.043425116919247,1.0986122886681098,10.783425454944485,9.32259705432185,8.661466680572662,5.602118820879701
"#Dose2 and feeling optimistic about a better summer and a terrific fall thx to a patient, measured re-opening and vaccine enthusiasts across ! (TY â¤ï¸)",feel optimistic better summer terrific fall thx patient measure open vaccine enthusiasts,1,0.9042,positive,1,3,13111,3597,4999,137,0.0,1.0986122886681098,9.481206851499401,8.187855443695623,8.51699317141357,4.919980925828125
"#Midtown - at Mt Pleasant and Eg is taking 55+ for AZ jab right now. My husband just walked in and was taken immediately, no wait. The sign out front says 60+ but ignore it. #vaccine",pleasant take jab right husband walk take immediately wait sign say ignore,1,0.2023,positive,1,9,6108,9238,679,275,0.0,2.1972245773362196,8.717354666338522,9.13108069099055,6.520621127558696,5.616771097666572
"#Midtown - at Mt Pleasant and Eg is taking 55+ for AZ jab right now. My husband just walked in and was taken immediately, no wait. The sign out front says 60+ but ignore it. #vaccine",pleasant take jab right husband walk take immediately wait sign say ignore,1,0.2023,positive,1,9,140863,1136,2034,9,0.0,2.1972245773362196,11.855543065815047,7.035268599281097,7.617759576608505,2.1972245773362196
"#Midtown - at Mt Pleasant and Eg is taking 55+ for AZ jab right now. My husband just walked in and was taken immediately, no wait. The sign out front says 60+ but ignore it. #vaccine",pleasant take jab right husband walk take immediately wait sign say ignore,1,0.2023,positive,1,9,3222,233,792,19,0.0,2.1972245773362196,8.07775756373692,5.4510384535657,6.674561391814426,2.9444389791664403
"#Midtown - at Mt Pleasant and Eg is taking 55+ for AZ jab right now. My husband just walked in and was taken immediately, no wait. The sign out front says 60+ but ignore it. #vaccine",pleasant take jab right husband walk take immediately wait sign say ignore,1,0.2023,positive,1,9,106823,3617,3972,200,0.0,2.1972245773362196,11.578928538127743,8.193400231952097,8.287025025165063,5.298317366548036
"#Midtown - at Mt Pleasant and Eg is taking 55+ for AZ jab right now. My husband just walked in and was taken immediately, no wait. The sign out front says 60+ but ignore it. #vaccine",pleasant take jab right husband walk take immediately wait sign say ignore,1,0.2023,positive,1,9,30125,419,61,4,0.0,2.1972245773362196,10.313110670792955,6.037870919922137,4.110873864173311,1.3862943611198906
#MyWhy So many reasons why I have received my first covid shot. To protect my vulnerable son who has special needs . I'm a single mom and can't get sick. To be able to see family especially my great nephew who is 4 and my great niece who was born in January and I haven't met yet.,reason receive covid shoot protect vulnerable son special need single mom sick able family especially great nephew great niece bear january haven meet,0,0.8169,positive,16,3,23455,528,166,5,2.772588722239781,1.0986122886681098,10.062838970762558,6.269096283706261,5.111987788356544,1.6094379124341003
#MyWhy So many reasons why I have received my first covid shot. To protect my vulnerable son who has special needs . I'm a single mom and can't get sick. To be able to see family especially my great nephew who is 4 and my great niece who was born in January and I haven't met yet.,reason receive covid shoot protect vulnerable son special need single mom sick able family especially great nephew great niece bear january haven meet,0,0.8169,positive,1,3,109161,181327,8252,1660,0.0,1.0986122886681098,11.6005791356451,12.108057310089439,9.018210874191142,7.414572881350589
#primeministerCorruption #NDPcorruption #RemoveThePM #primeministerVaccineFailure #TruAnon #primeministerCovidNegligence Got my first Pfizer jab 9 days ago 2nd should be May 11th NOT AUG 10TH!!ðŸ˜¡,get pfizer jab days ago aug,1,0.0,neutral,2,3,163939,1075,1041,7,0.6931471805599453,1.0986122886681098,12.007249686395811,6.980075940561763,6.947937068614969,1.9459101490553132
"#Sheeple don't do it! There are no long term safety studies. Use your common sense and at least wait until 2023, when the phase 3 trial data is published. (Yes, you are getting an experimental jab.)",long term safety study use common sense wait phase trial data publish yes get experimental jab,0,0.6705,positive,2,1,105788,8518,7558,1,0.6931471805599453,0.0,11.569192370423531,9.049936850483158,8.930361883909434,0.0
#StayStrongIndia Now that  has tons of supplies of all vaccine #PfizerVaccine #AstraZeneca #modernavaccine I'm hoping that my second jab gets pushed up by few weeks As of now it's 16week wait for second dose #CovishieldVaccine,tons supply vaccine hop second jab get push weeks week wait second dose,1,0.0,neutral,1,1,8473,146,245,3,0.0,0.0,9.044639916198465,4.983606621708336,5.501258210544727,1.0986122886681098
#They want you injected with mRNA technology. AZ and JJ shots don't have that. This is not about Covid. This is not about saving lives. This is an experiment. #AvoidTheJab,want inject mrna technology shots covid save live experiment,0,0.5423,positive,1,7,296536,887,665,5,0.0,1.9459101490553132,12.599923906575667,6.787844982309579,6.499787040655854,1.6094379124341003
"#vaccinated at the #HumberRiverHospital clinic in #, which may still be open to 40+ - go get #jabbed!!! #COVID19 #COVID #CovidVaccine #premierfailed #premierFailedThePeople #premierVaccineFailure #premierMustResign",clinic open,1,0.0,neutral,1,1,532735,1163,1243,8,0.0,0.0,13.18577939376908,7.0587581525186645,7.1252830915107115,2.0794415416798357
"#vaccine #VaccineForAll #COVID19 #pandemic so for those of you, like my wife and I, who went out to get 1st A-Z shot in  in March when we were told we were eligible...don't hold your breath waiting for the call for that 2nd jab.",like wife go shoot march tell eligible hold breath wait jab,1,0.0258,neutral,1,1,340,27,106,1,0.0,0.0,5.8289456176102075,3.295836866004329,4.663439094112067,0.0
"#wednesdaymotivation Got second jab of Covaxin. Everyone, please get vaccinated ASAP and maintain the social distancing and wearing of masks. You owe it to all others.",get second jab covaxin vaccinate asap maintain social distance wear mask owe,1,0.0,neutral,1,22,259284,703,280,15,0.0,3.091042453358316,12.465679265033671,6.555356891810665,5.634789603169249,2.70805020110221
"#WednesdayWisdom Hmmmmmm ðŸ¤” At this rate, I don't expect to get my #COVID19 jab until ... Spring 2022. #onpoli #vaccine #Boomer",hmmmmmm rate expect jab spring,1,0.0,neutral,5,1,212662,4420,4828,300,1.6094379124341003,0.0,12.267459329844385,8.393894975071744,8.482187582217422,5.703782474656201
#whyCOVID19jab What he doesn't eat in a restaurant or go to movies AFTER the vaccine ðŸ˜³?-- so why get the vaccine? Bizarre Fauci Doesn't Put Much Stock in the Vaccine,eat restaurant movies vaccine vaccine bizarre fauci stock vaccine,0,-0.3182,negative,1,1,15767,201,358,5,0.0,0.0,9.665674427237482,5.303304908059076,5.8805329864007,1.6094379124341003
"$$$$$ Jabs won't change the tyranny. Look at the UK! They have achieved herd immunity and are still doing all of this BS and no travel this summer! They still have many more goalposts to move, don't be fooled",jab win change tyranny look achieve herd immunity travel summer goalposts fool,0,0.2263,positive,1,1,5326,192,264,2,0.0,0.0,8.580355766373877,5.2574953720277815,5.575949103146316,0.6931471805599453
"(1 of 2)Went to get a pedi - first in a year. Owner/nail tech isn't wearing a mask. I ask her to put one on. â€œOh, I don't wear masks. Haven't you been vaccinated?â€ â€œYes, I'm fully vaccinated but I still wear a maskâ€ â€œI'm not getting the vaccine, â€œ she says. â€œ",go pedi year owner nail tech isn wear mask ask œoh wear mask haven vaccinate œyes fully vaccinate wear maskâ get vaccine say,1,0.0,neutral,1,57,18922,27260,4281,621,0.0,4.04305126783455,9.84808054526439,10.213175705250524,8.361941906144946,6.431331081933479
"(1 of 2)Went to get a pedi - first in a year. Owner/nail tech isn't wearing a mask. I ask her to put one on. â€œOh, I don't wear masks. Haven't you been vaccinated?â€ â€œYes, I'm fully vaccinated but I still wear a maskâ€ â€œI'm not getting the vaccine, â€œ she says. â€œ",go pedi year owner nail tech isn wear mask ask œoh wear mask haven vaccinate œyes fully vaccinate wear maskâ get vaccine say,1,0.0,neutral,1,57,1049,1429,5004,82,0.0,4.04305126783455,6.955592608396297,7.264730177929867,8.517992871586802,4.406719247264253
"(1 of 2)Went to get a pedi - first in a year. Owner/nail tech isn't wearing a mask. I ask her to put one on. â€œOh, I don't wear masks. Haven't you been vaccinated?â€ â€œYes, I'm fully vaccinated but I still wear a maskâ€ â€œI'm not getting the vaccine, â€œ she says. â€œ",go pedi year owner nail tech isn wear mask ask œoh wear mask haven vaccinate œyes fully vaccinate wear maskâ get vaccine say,1,0.0,neutral,1,57,3903,303,700,15,0.0,4.04305126783455,8.269500767180615,5.713732805509369,6.551080335043404,2.70805020110221
(Old white) people are refusing Moderna at the Bayview Village Must be nice to have that luxury. I took whatever I could get for the first and will do the same for the second.,old white people refuse moderna bayview village nice luxury take second,1,0.1531,positive,4,2,4256,48,6,15,1.3862943611198906,0.6931471805599453,8.35608503102148,3.871201010907891,1.791759469228055,2.70805020110221
(Old white) people are refusing Moderna at the Bayview Village Must be nice to have that luxury. I took whatever I could get for the first and will do the same for the second.,old white people refuse moderna bayview village nice luxury take second,1,0.1531,positive,1,2,370117,4731,5194,41,0.0,0.6931471805599453,12.821574450850813,8.461891875631148,8.555259392222693,3.713572066704308
*me inside Terminal 3 once I get jabbed and jooked up with the vaccine*,inside terminal jab jooked vaccine,1,0.0,neutral,1,42,21475,399,395,1,0.0,3.7376696182833684,9.974644746852457,5.988961416889864,5.978885764901122,0.0
*me inside Terminal 3 once I get jabbed and jooked up with the vaccine*,inside terminal jab jooked vaccine,1,0.0,neutral,1,42,13568,10986,2246,1,0.0,3.7376696182833684,9.515469358031684,9.304377013902565,7.716906135298388,0.0
*me inside Terminal 3 once I get jabbed and jooked up with the vaccine*,inside terminal jab jooked vaccine,1,0.0,neutral,1,42,50894,505,337,10,0.0,3.7376696182833684,10.8375003173979,6.22455842927536,5.820082930352362,2.302585092994046
*me inside Terminal 3 once I get jabbed and jooked up with the vaccine*,inside terminal jab jooked vaccine,1,0.0,neutral,1,42,1827,492,355,6,0.0,3.7376696182833684,7.510430556378006,6.198478716492308,5.872117789475416,1.791759469228055
*me inside Terminal 3 once I get jabbed and jooked up with the vaccine*,inside terminal jab jooked vaccine,1,0.0,neutral,1,42,11161,1014,659,2,0.0,3.7376696182833684,9.320180837655714,6.921658184151129,6.490723534502507,0.6931471805599453
"*Whispers* An emergency use vaccine with no long-term data is not, in fact, ""great"" for 12-year-olds who face greater risks from seasonal influenza. (And before I get banned, I do think it's actually ""great"" that we finally have jabs for our most vulnerable.)",whisper emergency use vaccine long term data fact great year olds face greater risk seasonal influenza ban think actually great finally jab vulnerable,0,0.3612,positive,32,6,75140,5832,528,30,3.4657359027997265,1.791759469228055,11.227108319127959,8.671115273688494,6.269096283706261,3.4011973816621555
", all those young people injecting you may want to think about this. Proof is in the pudding. I am sure once the India Variant proves nothing the big scariant will then be the Israel Variant, when all along we know it is the jab.",young people inject want think proof pudding sure india variant prove big scariant israel variant know jab,0,0.3818,positive,1,5,25804,88,282,1,0.0,1.6094379124341003,10.158284797652133,4.477336814478207,5.641907070938114,0.0
", all those young people injecting you may want to think about this. Proof is in the pudding. I am sure once the India Variant proves nothing the big scariant will then be the Israel Variant, when all along we know it is the jab.",young people inject want think proof pudding sure india variant prove big scariant israel variant know jab,0,0.3818,positive,1,5,28091,739,686,2,0.0,1.6094379124341003,10.24320451932223,6.6052979209482015,6.530877627725885,0.6931471805599453
", all those young people injecting you may want to think about this. Proof is in the pudding. I am sure once the India Variant proves nothing the big scariant will then be the Israel Variant, when all along we know it is the jab.",young people inject want think proof pudding sure india variant prove big scariant israel variant know jab,0,0.3818,positive,1,5,114304,742,894,1,0.0,1.6094379124341003,11.646616844796116,6.60934924316738,6.795705775173514,0.0
", all you getting the jab then getting tested what the hell are you doing? Has the fear infected you that much? You are all feeding into the lockdown madness. Stop jabbing, stop getting tested and  too can be Florida.",get jab get test hell fear infect feed lockdown madness stop jab stop get test florida,0,-0.9337,negative,1,6,44944,1730,4274,2,0.0,1.791759469228055,10.713172549344025,7.455876687491824,8.360305435879093,0.6931471805599453
", all you getting the jab then getting tested what the hell are you doing? Has the fear infected you that much? You are all feeding into the lockdown madness. Stop jabbing, stop getting tested and  too can be Florida.",get jab get test hell fear infect feed lockdown madness stop jab stop get test florida,0,-0.9337,negative,1,6,23394,716,2425,2,0.0,1.791759469228055,10.060234858210652,6.573680166960646,7.793586803371584,0.6931471805599453
", all you getting the jab then getting tested what the hell are you doing? Has the fear infected you that much? You are all feeding into the lockdown madness. Stop jabbing, stop getting tested and  too can be Florida.",get jab get test hell fear infect feed lockdown madness stop jab stop get test florida,0,-0.9337,negative,1,6,296611,891,666,5,0.0,1.791759469228055,12.600176794984103,6.792344427470809,6.501289670540389,1.6094379124341003
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,60496,1345,1299,3,0.0,2.995732273553991,11.010332526130714,7.20414929203594,7.1693500166706,1.0986122886681098
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,69097,1454,2123,11,0.0,2.995732273553991,11.143266593473202,7.282073658093465,7.660585461703256,2.3978952727983707
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,175665,4929,5349,6,0.0,2.995732273553991,12.076334051144347,8.502891406705377,8.58466490653125,1.791759469228055
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,575434,2098,1142,2,0.0,2.995732273553991,13.262879817683041,7.6487397889562425,7.040536390215956,0.6931471805599453
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,8857,118,402,1,0.0,2.995732273553991,9.088963385809583,4.770684624465665,5.996452088619021,0.0
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,5980,153,655,1,0.0,2.995732273553991,8.696175846944678,5.030437921392435,6.484635235635252,0.0
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,56941,353,195,2,0.0,2.995732273553991,10.949770923024142,5.8664680569332965,5.272999558563747,0.6931471805599453
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,11298,34,167,3,0.0,2.995732273553991,9.332380997885208,3.5263605246161616,5.117993812416755,1.0986122886681098
", all you jabbers thinking you need it to travel another country just bit the dust. France is now saying come one come all no vaccine needed. Hey Skippy how is that passport coming....lol. Keep injecting fools...lol.",jabber think need travel country bite dust france say come come vaccine need hey skippy passport come lol inject fool lol,0,0.4019,positive,1,20,84396,417,1456,1,0.0,2.995732273553991,11.343275286096018,6.0330862217988015,7.283448228756631,0.0
", all you parents jabbing your children, you may want to know this. premier when the first child does not make it after the jab, what are you going to say then?",parent jab children want know premier child jab go,0,0.0772,positive,1,5,25266,890,3501,2,0.0,1.6094379124341003,10.137214897389983,6.7912214627261855,8.160803920954665,0.6931471805599453
", all you parents jabbing your children, you may want to know this. premier when the first child does not make it after the jab, what are you going to say then?",parent jab children want know premier child jab go,0,0.0772,positive,1,5,11205,1272,2517,8,0.0,1.6094379124341003,9.324115386235027,7.148345743900068,7.830822995135316,2.0794415416798357
", all you parents jabbing your children, you may want to know this. premier when the first child does not make it after the jab, what are you going to say then?",parent jab children want know premier child jab go,0,0.0772,positive,1,5,111489,6512,6749,25,0.0,1.6094379124341003,11.621681210307095,8.781401907682376,8.817149624743406,3.2188758248682006
", all you people saying we will never have communism in  how can you say that? Look at you wearing your flipping mask and hunkered at home saying one more lockdown and we have freedom. Everyone get jabbed. You are morons. They are threatening summer now!",people say communism look wear flip mask hunker home say lockdown freedom jab morons threaten summer,0,0.0772,positive,1,8,23409,717,2435,2,0.0,2.0794415416798357,10.06087584278487,6.57507584059962,7.79770203551669,0.6931471805599453
", all you people saying we will never have communism in  how can you say that? Look at you wearing your flipping mask and hunkered at home saying one more lockdown and we have freedom. Everyone get jabbed. You are morons. They are threatening summer now!",people say communism look wear flip mask hunker home say lockdown freedom jab morons threaten summer,0,0.0772,positive,1,8,7152,66,333,1,0.0,2.0794415416798357,8.87514731685335,4.189654742026425,5.808142489980444,0.0
", all you people saying we will never have communism in  how can you say that? Look at you wearing your flipping mask and hunkered at home saying one more lockdown and we have freedom. Everyone get jabbed. You are morons. They are threatening summer now!",people say communism look wear flip mask hunker home say lockdown freedom jab morons threaten summer,0,0.0772,positive,1,8,135464,1857,5008,3,0.0,2.0794415416798357,11.816461201345177,7.526717561352706,8.518791912779934,1.0986122886681098
", all you people saying we will never have communism in  how can you say that? Look at you wearing your flipping mask and hunkered at home saying one more lockdown and we have freedom. Everyone get jabbed. You are morons. They are threatening summer now!",people say communism look wear flip mask hunker home say lockdown freedom jab morons threaten summer,0,0.0772,positive,1,8,1039,223,529,1,0.0,2.0794415416798357,6.946013991099227,5.407171771460119,6.270988431858299,0.0
", are you starting to see thru the bullshit. We are now entering the vaccine wars. Pfizer has paid off everyone and is now the jab of choice....lol. Keep injecting fools",start bullshit enter vaccine war pfizer pay jab choice lol inject fool,0,-0.8481,negative,1,4,3553,150,138,1,0.0,1.3862943611198906,8.175547596021026,5.0106352940962555,4.927253685157205,0.0
", are you starting to see thru the bullshit. We are now entering the vaccine wars. Pfizer has paid off everyone and is now the jab of choice....lol. Keep injecting fools",start bullshit enter vaccine war pfizer pay jab choice lol inject fool,0,-0.8481,negative,1,4,60476,1341,1297,3,0.0,1.3862943611198906,11.010001871100092,7.201170883281678,7.167809184316444,1.0986122886681098
", are you starting to see thru the bullshit. We are now entering the vaccine wars. Pfizer has paid off everyone and is now the jab of choice....lol. Keep injecting fools",start bullshit enter vaccine war pfizer pay jab choice lol inject fool,0,-0.8481,negative,1,4,27953,296,354,1,0.0,1.3862943611198906,10.238279807349246,5.69035945432406,5.869296913133774,0.0
", blaming the unjabbed for the variants is a classic deflection. They know this is going bad this fall and they are trying to put the blame on others. Do not be fooled.",blame unjabbed variants classic deflection know go bad fall try blame fool,0,-0.8807,negative,1,7,4502,105,226,1,0.0,1.9459101490553132,8.412277021466677,4.653960350157523,5.420534999272286,0.0
", Covid Craziness. Virus has a 99+% recovery rate. PCR is totally fraudulent. Jabs were fast tracked. YET you are injecting cuz you are infected with fear. Now you can mix and match your 2nd dose. They want your children jabbed. Do you NOT see the Craziness?",covid craziness virus recovery rate pcr totally fraudulent jab fast track inject cuz infect fear mix match dose want children jab craziness,0,-0.8908,negative,1,2,23392,718,2428,2,0.0,0.6931471805599453,10.060149362549504,6.576469569048224,7.794823152179389,0.6931471805599453
", fucking jab me with the vaccine already, goddamn.",fuck jab vaccine goddamn,1,-0.765,negative,1,1,4726,223,248,3,0.0,0.0,8.460834457746854,5.407171771460119,5.5134287461649825,1.0986122886681098
